navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 20:15:22:491,2025-04-25 20:15:22,60.695493,19.774663,464365.65625,1745612122489,2025-04-25 20:15:22,478.02612,101.56224,-246.33726,547.271327277777,2
25-04-2025 20:15:42:491,2025-04-25 20:15:42,59.46194,19.035887,463487.4375,1745612142488,2025-04-25 20:15:42,521.97132,-20.50776,-161.62068,546.805149323251,3
25-04-2025 20:16:02:491,2025-04-25 20:16:02,58.217261,18.339039,462596.375,1745612162489,2025-04-25 20:16:02,523.43616,-86.6697,-60.30258,533.978886893753,2
25-04-2025 20:16:22:491,2025-04-25 20:16:22,56.975515,17.686744,461703.59375,1745612182488,2025-04-25 20:16:22,501.95184,-89.1111,36.13272,511.079261247406,3
25-04-2025 20:16:42:491,2025-04-25 20:16:42,55.735054,17.073062,460809.1875,1745612202488,2025-04-25 20:16:42,475.34058,-33.69132,102.29466,487.388930426815,3
25-04-2025 20:17:02:491,2025-04-25 20:17:02,54.483166,16.487955,459905.25,1745612222487,2025-04-25 20:17:02,445.31136,55.17564,131.59146,467.614019186113,4
25-04-2025 20:17:22:491,2025-04-25 20:17:22,53.235584,15.935444,459004.40625,1745612242487,2025-04-25 20:17:22,408.9345,152.5875,113.28096,450.935634370385,4
25-04-2025 20:17:32:491,2025-04-25 20:17:32,52.6043,15.666485,458548.96875,1745612252487,2025-04-25 20:17:32,388.1826,199.21824,91.06422,445.720013299455,4
25-04-2025 20:17:52:491,2025-04-25 20:17:52,51.353856,15.153021,457648.59375,1745612272486,2025-04-25 20:17:52,335.20422,278.80788,24.65814,436.696378418876,5
25-04-2025 20:18:02:491,2025-04-25 20:18:02,50.727801,14.904931,457198.96875,1745612282486,2025-04-25 20:18:02,303.71016,307.12812,-13.67184,432.150971988894,5
25-04-2025 20:18:22:491,2025-04-25 20:18:22,49.466067,14.421683,456296.0625,1745612302486,2025-04-25 20:18:22,230.95644,342.52842,-95.2146,423.948600349535,5
25-04-2025 20:18:42:491,2025-04-25 20:18:42,48.209873,13.961042,455402.65625,1745612322486,2025-04-25 20:18:42,151.61094,347.16708,-166.74762,413.902920186696,5
25-04-2025 20:19:02:491,2025-04-25 20:19:02,46.946264,13.516405,454510.90625,1745612342486,2025-04-25 20:19:02,77.39238,329.589,-222.89982,405.342841504691,5
