navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 12:27:52:521,2025-04-25 12:27:52,46.379235,131.150424,453970.28125,1745584072524,2025-04-25 12:27:52,-278.80788,29.2968,-281.73756,397.452121839962,3
25-04-2025 12:28:02:521,2025-04-25 12:28:02,45.750168,130.939193,453532.4375,1745584082523,2025-04-25 12:28:02,-251.22006,59.8143,-241.94274,353.872234668957,2
25-04-2025 12:28:12:521,2025-04-25 12:28:12,45.118174,130.730886,453095.03125,1745584092524,2025-04-25 12:28:12,-226.80606,74.4627,-260.0091,352.973674127156,3
25-04-2025 12:28:22:521,2025-04-25 12:28:22,44.4813,130.524765,452656.875,1745584102523,2025-04-25 12:28:22,-245.11656,72.99786,-279.78444,379.064834054713,2
25-04-2025 12:28:32:521,2025-04-25 12:28:32,43.849155,130.323766,452224.84375,1745584112523,2025-04-25 12:28:32,-238.52478,53.95494,-284.17896,374.917174228033,2
25-04-2025 12:28:52:521,2025-04-25 12:28:52,42.585024,129.931945,451370.03125,1745584132522,2025-04-25 12:28:52,-221.19084,70.31232,-289.79418,371.281398410371,1
25-04-2025 12:29:02:521,2025-04-25 12:29:02,41.947928,129.739307,450944.21875,1745584142523,2025-04-25 12:29:02,-217.04046,49.31628,-272.2161,351.625172377149,2
25-04-2025 12:29:12:521,2025-04-25 12:29:12,41.315609,129.551135,450525.15625,1745584152523,2025-04-25 12:29:12,-213.6225,58.5936,-278.56374,355.901025160082,2
25-04-2025 12:29:32:521,2025-04-25 12:29:32,40.048708,129.182687,449696.875,1745584172522,2025-04-25 12:29:32,-214.35492,81.05448,-263.6712,349.342757425593,1
25-04-2025 12:29:42:521,2025-04-25 12:29:42,39.414771,129.00237,449288.4375,1745584182522,2025-04-25 12:29:42,-175.7808,88.86696,-255.1263,322.31297705797,1
25-04-2025 12:29:52:522,2025-04-25 12:29:52,38.774813,128.822955,448880.46875,1745584192521,2025-04-25 12:29:52,-201.65964,70.8006,-313.47576,379.402671936911,1
25-04-2025 12:30:12:521,2025-04-25 12:30:12,37.505972,128.474506,448085.0625,1745584212522,2025-04-25 12:30:12,-195.55614,45.1659,-274.16922,339.780699289877,1
25-04-2025 12:30:22:521,2025-04-25 12:30:22,36.869556,128.303205,447693.25,1745584222521,2025-04-25 12:30:22,-181.8843,44.43348,-297.36252,351.398208635375,0
25-04-2025 12:30:42:521,2025-04-25 12:30:42,35.596508,127.967037,446924.59375,1745584242522,2025-04-25 12:30:42,-180.17532,75.19512,-283.69068,344.380391322995,1
25-04-2025 12:31:02:521,2025-04-25 12:31:02,34.317852,127.637548,446174,1745584262521,2025-04-25 12:31:02,-174.80424,37.59756,-320.06754,366.624234062047,0
25-04-2025 12:31:22:521,2025-04-25 12:31:22,33.044588,127.316953,445449.28125,1745584282520,2025-04-25 12:31:22,-165.28278,60.05844,-347.16708,389.16628196118,1
25-04-2025 12:31:42:521,2025-04-25 12:31:42,31.763901,127.001466,444744.46875,1745584302520,2025-04-25 12:31:42,-144.28674,58.10532,-346.92294,380.197866709393,1
